Title	|	Description	|	URL
Phys.org	|	Political Science	|	https://phys.org/science-news/political-science/
PsyPost	|	Human behavior, cognition, and society	|	https://www.psypost.org/exclusive/social/
Big Think	|	The world’s biggest thinkers	|	https://bigthink.com/
CityLab	|	Urban innovation and solutions	|	https://www.bloomberg.com/citylab
StudyFinds	|	Research for mass audiences	|	https://studyfinds.org/category/politics/
moveBuddha	|	Moving Trends	|	https://www.movebuddha.com/blog/moving-trends/
USA Facts	|	Unbiased numbers behind the issues	|	https://usafacts.org/articles/
Statista 	|	Empowering people with data	|	https://www.statista.com/chartoftheday/
Our World in Data	|	Resources to do much better	|	https://ourworldindata.org/data
Visual Capitalist	|	Simplify a complex world	|	https://www.visualcapitalist.com/category/politics/
FreeThink	|	The smartest people, the biggest ideas	|	https://www.freethink.com/
IFLScience	|	Culture and Society	|	https://www.iflscience.com/culture-and-society
ScienceAlert	|	Society	|	https://www.sciencealert.com/society
SCOTUS Opinion	|	Covering the U.S. Supreme Court	|	https://www.scotusblog.com/
US Debt Clock	|	The most pressing issue of our time	|	https://usdebtclock.org/
Open Secrets	|	Data on money in politics	|	https://www.opensecrets.org/news/
BallotPedia	|	Content on all levels of U.S. politics	|	https://ballotpedia.org/
Data.gov	|	The power of government open data 	|	https://data.gov/
Talkers	|	Top weekly topics	|	https://www.talkers.com/week/
Tax Foundation	|	Improve lives through tax policies	|	https://taxfoundation.org/
World Population	|	Make this data more accessible	|	https://worldpopulationreview.com/categories/politics-government
