Title	|	Description	|	URL
Yale Daily News	|	Yale University	|	https://yaledailynews.com/blog/category/opinion/
Cornell Daily Sun	|	Cornell University	|	https://cornellsun.com/category/opinion/
The Maroon	|	Loyola University	|	https://loyolamaroon.com/category/oped/opinions/
Tufts Daily	|	Tufts University	|	https://www.tuftsdaily.com/section/opinion
Daily Tar Heel	|	University of North Carolina	|	https://www.dailytarheel.com/section/opinion
Daily Iowan	|	University of Iowa	|	https://dailyiowan.com/category/opinions/
The Chronicle	|	Duke University	|	https://www.dukechronicle.com/section/opinion
Daily Texan	|	University of Texas	|	https://thedailytexan.com/category/opinion/
Brown Daily Herald	|	Brown University	|	https://www.browndailyherald.com/section/opinions
Stanford Daily	|	Stanford University	|	https://stanforddaily.com/category/opinions/
Michigan Daily	|	University of Michigan	|	https://www.michigandaily.com/opinion-section/
Kentucky Kernel	|	University of Kentucky	|	https://kykernel.com/category/opinions/
Daily Mississippian	|	University of Mississippi	|	https://thedmonline.com/category/opinion/
Iowa State Daily	|	Iowa State University	|	https://iowastatedaily.com/category/opinion/
Harvard Crimson	|	Harvard University	|	https://www.thecrimson.com/section/opinion/
Red and Black	|	University of Georgia	|	https://www.redandblack.com/opinion/
Argonaut	|	University of Idaho	|	https://www.uiargonaut.com/category/opinion/
Pitt News	|	University of Pittsburgh	|	https://pittnews.com/article/category/opinions/
Minnesota Daily	|	University of Minnesota	|	https://mndaily.com/category/opinion/
Daily Bruin	|	University of California Los Angeles	|	https://dailybruin.com/category/opinion
Daily Collegian	|	Penn State University	|	https://www.collegian.psu.edu/opinion/columnists/
Badger Herald	|	University of Wisconsin	|	https://badgerherald.com/opinion/
The Independent	|	University of Florida	|	https://www.alligator.org/section/opinion
The Dartmouth	|	Dartmouth College	|	https://www.thedartmouth.com/section/opinion
Daily Trojan	|	University of Southern California	|	https://dailytrojan.com/opinion/
The Tech	|	Massachusetts Institute of Technology	|	https://thetech.com/opinion
Columbia Spectator	|	Columbia University	|	https://www.columbiaspectator.com/opinion/
