Title	|	Description	|	URL
ABC News	|	Political News	|	https://abcnews.go.com/Politics
AP News	|	Politics	|	https://apnews.com/politics
Axios	|	Politics &amp; Policy	|	https://www.axios.com/politics-policy
Bloomberg	|	Politics	|	https://www.bloomberg.com/politics
CNN	|	Politics	|	https://www.cnn.com/politics
Fox News	|	Politics	|	https://www.foxnews.com/politics
The Guardian	|	US Politics	|	https://www.theguardian.com/us-news/us-politics
NBC News	|	Politics	|	https://www.nbcnews.com/politics
The New York Times	|	US Politics	|	https://www.nytimes.com/section/politics
Politico	|	Latest News	|	https://www.politico.com/
Roll Call	|	Politics	|	https://rollcall.com/
The Hill	|	Just In	|	https://thehill.com/news/
The Washington Post	|	Politics	|	https://www.washingtonpost.com/politics/
The Wall Street Journal	|	Politics	|	https://www.wsj.com/politics
