Title	|	Description	|	URL
Aljazeera	|	Qatar	|	https://www.aljazeera.com/opinion/
Asahi Shimbun	|	Japan	|	https://www.asahi.com/ajw/opinion/
Asia Times	|	Hong Kong	|	https://asiatimes.com/category/opinion/
China Daily	|	China	|	http://www.chinadaily.com.cn/opinion
Daily Sabah 	|	Turkey	|	https://www.dailysabah.com/opinion
Dawn	|	Pakistan	|	https://www.dawn.com/opinion
El Pais	|	Spain	|	https://english.elpais.com/opinion/
Global Times	|	China	|	https://www.globaltimes.cn/opinion/
Haaretz	|	Israel	|	https://www.haaretz.com/opinion
Hindustan Times	|	India	|	https://www.hindustantimes.com/opinion
Japan Today	|	Japan	|	https://japantoday.com/category/features/opinions
Jerusalem Post	|	Israel	|	https://www.jpost.com/opinion
Kathimerini	|	Greece	|	https://www.ekathimerini.com/opinion/
Korea Herald	|	Korea	|	http://www.koreaherald.com/list.php?ct=020600000000
Le Monde diplomatique	|	France	|	https://mondediplo.com/blog/
Mainichi	|	Japan	|	https://mainichi.jp/english/opinion/
Moscow Times	|	Russia	|	https://www.themoscowtimes.com/opinion
People's Daily	|	China	|	http://en.people.cn/90780/index.html
Rio Times	|	Brazil	|	https://riotimesonline.com/?s=Opinion%20
RT	|	Russia	|	https://www.rt.com/op-ed/
South China Morning Post	|	Hong Kong	|	https://www.scmp.com/comment
Spectator	|	England	|	https://www.spectator.co.uk/category/politics
Sydney Morning Herald	|	Australia	|	https://www.smh.com.au/opinion
The Hindu	|	India	|	https://www.thehindu.com/opinion/
The Sun	|	England	|	https://www.thesun.co.uk/news/opinion/
Times of India	|	India	|	https://timesofindia.indiatimes.com/blogs/world/
